country,cabr,year,cut,subcut,indicator,value,se,N,method
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,bready_in9,40.38216782,9.137861,172.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,infor1,25.41967583,8.816533,139.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,infor2,11.88901424,4.582315,159.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,infor4,94.37423706,3.504953,174.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,infor5,.354121536,0.26137888,174.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,lform3,75.71786499,7.010353,174.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,mgmt1,49.03059387,2.9169033,75.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,mgmt2,82.42465973,4.6790247,115.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,mgmt3,28.11017799,5.208637,139.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,mgmt4,57.91355515,7.8794017,141.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,mgmt5,55.43720627,9.738539,141.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,mgmt6,33.26512146,5.5143576,138.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,mgmt7,50.58696747,9.645557,139.0,Global
Viet Nam2023,VNM,2023.0,Exporter Type,Direct exports are 10% or more of sales,mgmt8,65.38811493,10.528043,136.0,Global
